Key,Message
about_70c18bba,About
actual_zoom_211ec99,Actual Zoom
bring_all_to_front_207a7ad1,Bring All to Front
check_for_updates_12a70061,Check for Updates
close_d634289d,Close
close_window_4bdc79d7,Close Window
composer_on_github_1e3782ef,Composer on GitHub
copy_9748f9f,Copy
cut_c8c92681,Cut
delete_a6efa79d,Delete
documentation_d82f6eec,Documentation
edit_c5fbea07,Edit
exit_d0c7b013,Exit
file_c851020d,File
help_4c4968b1,Help
hide_bot_framework_composer_eeba3ea8,Hide Bot Framework Composer
hide_others_4204b552,Hide Others
initializing_4e34f7d,Initializing...
learn_more_about_bot_framework_2daca065,Learn More About Bot Framework
minimize_4f999e30,Minimize
paste_5963d1c1,Paste
privacy_statement_58986965,Privacy Statement
quit_bot_framework_composer_455ceb74,Quit Bot Framework Composer
redo_363c58b7,Redo
report_an_issue_f33f3ba5,Report an Issue
select_all_cf7e0248,Select All
services_ccd7bca0,Services
show_all_ae37d610,Show All
speech_16063aed,Speech
start_speaking_f8d406ff,Start Speaking
starting_server_721c37fd,Starting server...
stop_speaking_7b4b9834,Stop Speaking
toggle_developer_tools_d2ef8ea7,Toggle Developer Tools
toggle_full_screen_272a0c5,Toggle Full Screen
undo_a7be8fef,Undo
view_ba339f93,View
view_license_720d341a,View License
window_171922c7,Window
zoom_f3e54d69,Zoom
zoom_in_a781ccc7,Zoom In
zoom_out_dc7d60d2,Zoom Out